學年度,階段,學號,宿舍,房號
102,第一志願,0113408,女二舍,311
102,第一志願, 0113430,女二舍,311
102,第一志願, 0113437,女二舍,311
102,第一志願, 0113438,女二舍,311
102,第一志願,0011111,女二舍,314
102,第一志願, 0015354,女二舍,314
102,第一志願, 0015355,女二舍,314
102,第一志願, 0015356,女二舍,314
102,第一志願,0115311,女二舍,321
102,第一志願, 0115329,女二舍,321
102,第一志願, 0115343,女二舍,321
102,第一志願, 0115350,女二舍,321
102,第一志願,0112207,女二舍,322
102,第一志願, 0112210,女二舍,322
102,第一志願, 0112241,女二舍,322
102,第一志願, 0112250,女二舍,322
102,第一志願,0111509,女二舍,324
102,第一志願, 0111514,女二舍,324
102,第一志願, 0111516,女二舍,324
102,第一志願, 0111538,女二舍,324
102,第一志願,0015312,女二舍,332
102,第一志願, 0015316,女二舍,332
102,第一志願, 0015320,女二舍,332
102,第一志願, 0015326,女二舍,332
102,第一志願,0113308,女二舍,334
102,第一志願, 0113311,女二舍,334
102,第一志願, 0113326,女二舍,334
102,第一志願, 0113343,女二舍,334
102,第一志願,0113407,女二舍,362
102,第一志願, 0113409,女二舍,362
102,第一志願, 0113416,女二舍,362
102,第一志願, 0113420,女二舍,362
102,第一志願,0113102,女二舍,372
102,第一志願, 0113116,女二舍,372
102,第一志願, 0113120,女二舍,372
102,第一志願, 0113144,女二舍,372
102,第一志願,0115302,女二舍,414
102,第一志願, 0115325,女二舍,414
102,第一志願, 0115327,女二舍,414
102,第一志願, 0115342,女二舍,414
102,第一志願,0113202,女二舍,423
102,第一志願, 0113203,女二舍,423
102,第一志願, 0113214,女二舍,423
102,第一志願, 0113217,女二舍,423
102,第一志願,0110760,女二舍,431
102,第一志願, 0110782,女二舍,431
102,第一志願, 0110816,女二舍,431
102,第一志願, 0110850,女二舍,431
102,第一志願,0112513,女二舍,432
102,第一志願, 0112537,女二舍,432
102,第一志願, 0112543,女二舍,432
102,第一志願, 0112551,女二舍,432
102,第一志願,0113133,女二舍,433
102,第一志願, 0113147,女二舍,433
102,第一志願, 0113148,女二舍,433
102,第一志願, 0113149,女二舍,433
102,第一志願,0112502,女二舍,441
102,第一志願, 0112520,女二舍,441
102,第一志願, 0112527,女二舍,441
102,第一志願, 0112546,女二舍,441
102,第一志願,0111601,女二舍,443
102,第一志願, 0111606,女二舍,443
