學年度,階段,學號,宿舍,房號
102,第一志願,9911017,七宿舍,102
102,第一志願, 9911035,七宿舍,102
102,第一志願, 9911046,七宿舍,102
102,第一志願, 9911047,七宿舍,102
102,第一志願,0117011,七宿舍,105
102,第一志願, 0117012,七宿舍,105
102,第一志願, 0117046,七宿舍,105
102,第一志願, 0117047,七宿舍,105
102,第一志願,0112003,七宿舍,109
102,第一志願, 0112007,七宿舍,109
102,第一志願, 0112027,七宿舍,109
102,第一志願, 0116070,七宿舍,109
102,第一志願,0116230,七宿舍,110
102,第一志願, 0116234,七宿舍,110
102,第一志願, 0116242,七宿舍,110
102,第一志願, 0116303,七宿舍,110
102,第一志願,0116026,七宿舍,113
102,第一志願, 0116314,七宿舍,113
102,第一志願, 0116320,七宿舍,113
102,第一志願, 0116342,七宿舍,113
102,第一志願,0110002,七宿舍,114
102,第一志願, 0110014,七宿舍,114
102,第一志願, 0110028,七宿舍,114
102,第一志願, 0110031,七宿舍,114
102,第一志願,0111052,七宿舍,115
102,第一志願, 0111080,七宿舍,115
102,第一志願, 0111085,七宿舍,115
102,第一志願, 0111086,七宿舍,115
102,第一志願,0110712,七宿舍,117
102,第一志願, 0110721,七宿舍,117
102,第一志願, 0110776,七宿舍,117
102,第一志願, 9923196,七宿舍,117
102,第一志願,0110007,七宿舍,118
102,第一志願, 0110022,七宿舍,118
102,第一志願, 0110025,七宿舍,118
102,第一志願, 0119004,七宿舍,118
102,第一志願,9923026,七宿舍,120
102,第一志願, 9923076,七宿舍,120
102,第一志願, 9923088,七宿舍,120
102,第一志願, 9923127,七宿舍,120
102,第一志願,0110735,七宿舍,121
102,第一志願, 0111211,七宿舍,121
102,第一志願, 0113334,七宿舍,121
102,第一志願, 0113338,七宿舍,121
102,第一志願,0110016,七宿舍,124
102,第一志願, 0110017,七宿舍,124
102,第一志願, 0110018,七宿舍,124
102,第一志願, 0110032,七宿舍,124
102,第一志願,0010540,七宿舍,126
102,第一志願, 0010541,七宿舍,126
102,第一志願, 0010892,七宿舍,126
102,第一志願, 0012260,七宿舍,126
102,第一志願,9911048,七宿舍,129
102,第一志願, 9917125,七宿舍,129
102,第一志願, 9923005,七宿舍,129
102,第一志願, 9923032,七宿舍,129
102,第一志願,9911005,七宿舍,201
102,第一志願, 9911029,七宿舍,201
102,第一志願, 9911041,七宿舍,201
102,第一志願, 9911061,七宿舍,201
102,第一志願,0110108,七宿舍,204
102,第一志願, 0110115,七宿舍,204
102,第一志願, 0110120,七宿舍,204
102,第一志願, 0112221,七宿舍,204
102,第一志願,0110724,七宿舍,205
102,第一志願, 0111521,七宿舍,205
102,第一志願, 0112023,七宿舍,205
102,第一志願, 0113234,七宿舍,205
102,第一志願,0116005,七宿舍,206
102,第一志願, 0116014,七宿舍,206
102,第一志願, 0116030,七宿舍,206
102,第一志願, 0116041,七宿舍,206
102,第一志願,0110004,七宿舍,209
102,第一志願, 0110008,七宿舍,209
102,第一志願, 0110020,七宿舍,209
102,第一志願, 0110023,七宿舍,209
102,第一志願,0110515,七宿舍,210
102,第一志願, 0110533,七宿舍,210
102,第一志願, 0110534,七宿舍,210
102,第一志願, 0112244,七宿舍,210
102,第一志願,0110506,七宿舍,211
102,第一志願, 0110507,七宿舍,211
102,第一志願, 0110517,七宿舍,211
102,第一志願, 0110519,七宿舍,211
102,第一志願,0011518,七宿舍,213
102,第一志願, 0011536,七宿舍,213
102,第一志願, 0113330,七宿舍,213
102,第一志願, 9928001,七宿舍,213
102,第一志願,0110011,七宿舍,214
102,第一志願, 0110024,七宿舍,214
102,第一志願, 0110029,七宿舍,214
102,第一志願, 0110030,七宿舍,214
102,第一志願,0110164,七宿舍,215
102,第一志願, 0110525,七宿舍,215
102,第一志願, 0110526,七宿舍,215
102,第一志願, 0110704,七宿舍,215
102,第一志願,0112105,七宿舍,217
102,第一志願, 0112128,七宿舍,217
102,第一志願, 0112131,七宿舍,217
102,第一志願, 0112132,七宿舍,217
102,第一志願,9917057,七宿舍,222
102,第一志願, 9917248,七宿舍,222
102,第一志願, 9917251,七宿舍,222
102,第一志願, 9917265,七宿舍,222
102,第一志願,0116035,七宿舍,224
102,第一志願, 0116055,七宿舍,224
102,第一志願, 0116056,七宿舍,224
102,第一志願, 0116239,七宿舍,224
102,第一志願,0119006,七宿舍,225
102,第一志願, 0119020,七宿舍,225
102,第一志願, 0119034,七宿舍,225
102,第一志願, 0119037,七宿舍,225
102,第一志願,0117028,七宿舍,226
102,第一志願, 0117052,七宿舍,226
102,第一志願, 9928024,七宿舍,226
102,第一志願, 9928057,七宿舍,226
102,第一志願,0110789,七宿舍,229
102,第一志願, 0110797,七宿舍,229
102,第一志願, 0110817,七宿舍,229
102,第一志願, 0110849,七宿舍,229
102,第一志願,0110737,七宿舍,230
102,第一志願, 0110745,七宿舍,230
102,第一志願, 0110811,七宿舍,230
102,第一志願, 0110863,七宿舍,230
102,第一志願,0113335,七宿舍,235
102,第一志願, 0113344,七宿舍,235
102,第一志願, 0113348,七宿舍,235
102,第一志願, 0113354,七宿舍,235
102,第一志願,0113233,七宿舍,236
102,第一志願, 0113240,七宿舍,236
102,第一志願, 0113249,七宿舍,236
102,第一志願, 0115420,七宿舍,236
102,第一志願,0112021,七宿舍,238
102,第一志願, 0112120,七宿舍,238
102,第一志願, 0112126,七宿舍,238
102,第一志願, 0112129,七宿舍,238
102,第一志願,0110503,七宿舍,301
102,第一志願, 0110508,七宿舍,301
102,第一志願, 0110518,七宿舍,301
102,第一志願, 0110537,七宿舍,301
102,第一志願,0110516,七宿舍,302
102,第一志願, 0110521,七宿舍,302
102,第一志願, 0110530,七宿舍,302
102,第一志願, 0110532,七宿舍,302
102,第一志願,0113201,七宿舍,303
102,第一志願, 0113212,七宿舍,303
102,第一志願, 0113227,七宿舍,303
102,第一志願, 0113239,七宿舍,303
102,第一志願,0110501,七宿舍,305
102,第一志願, 0110504,七宿舍,305
102,第一志願, 0110535,七宿舍,305
102,第一志願, 0110539,七宿舍,305
102,第一志願,0112212,七宿舍,306
102,第一志願, 0112224,七宿舍,306
102,第一志願, 0112249,七宿舍,306
102,第一志願, 0112251,七宿舍,306
102,第一志願,9910002,七宿舍,308
102,第一志願, 9910009,七宿舍,308
102,第一志願, 9910013,七宿舍,308
102,第一志願, 9910015,七宿舍,308
102,第一志願,0117026,七宿舍,309
102,第一志願, 0117030,七宿舍,309
102,第一志願, 0117032,七宿舍,309
102,第一志願, 0117035,七宿舍,309
102,第一志願,0012003,八宿舍,102
102,第一志願, 0012008,八宿舍,102
102,第一志願, 0012106,八宿舍,102
102,第一志願, 0012112,八宿舍,102
102,第一志願,0011056,八宿舍,106
102,第一志願, 0111042,八宿舍,106
102,第一志願, 0111056,八宿舍,106
102,第一志願, 0111103,八宿舍,106
102,第一志願,0110713,八宿舍,109
102,第一志願, 0110798,八宿舍,109
102,第一志願, 0110848,八宿舍,109
102,第一志願, 0110861,八宿舍,109
102,第一志願,9914042,八宿舍,110
102,第一志願, 9914060,八宿舍,110
102,第一志願, 9914062,八宿舍,110
102,第一志願, 9914081,八宿舍,110
102,第一志願,9917066,八宿舍,111
102,第一志願, 9917143,八宿舍,111
102,第一志願, 9917261,八宿舍,111
102,第一志願, 9917274,八宿舍,111
102,第一志願,9916052,八宿舍,112
102,第一志願, 9916083,八宿舍,112
102,第一志願, 9916086,八宿舍,112
102,第一志願, 9917135,八宿舍,112
102,第一志願,0011527,八宿舍,114
102,第一志願, 0011529,八宿舍,114
102,第一志願, 0011544,八宿舍,114
102,第一志願, 0011551,八宿舍,114
102,第一志願,0111020,八宿舍,117
102,第一志願, 0111053,八宿舍,117
102,第一志願, 0111107,八宿舍,117
102,第一志願, 0111110,八宿舍,117
102,第一志願,0010787,八宿舍,120
102,第一志願, 0013101,八宿舍,120
102,第一志願, 0013143,八宿舍,120
102,第一志願, 0013324,八宿舍,120
102,第一志願,9917015,八宿舍,121
102,第一志願, 9917024,八宿舍,121
102,第一志願, 9917162,八宿舍,121
102,第一志願, 9917264,八宿舍,121
102,第一志願,0010741,八宿舍,124
102,第一志願, 0010748,八宿舍,124
102,第一志願, 0010786,八宿舍,124
102,第一志願, 0010879,八宿舍,124
102,第一志願,9911003,八宿舍,125
102,第一志願, 9911026,八宿舍,125
102,第一志願, 9911066,八宿舍,125
102,第一志願, 9911081,八宿舍,125
102,第一志願,9917061,八宿舍,126
102,第一志願, 9917079,八宿舍,126
102,第一志願, 9917085,八宿舍,126
102,第一志願, 9917091,八宿舍,126
102,第一志願,0012212,八宿舍,127
102,第一志願, 0012221,八宿舍,127
102,第一志願, 0012227,八宿舍,127
102,第一志願, 0012243,八宿舍,127
102,第一志願,0112219,八宿舍,129
102,第一志願, 0112237,八宿舍,129
102,第一志願, 0112238,八宿舍,129
102,第一志願, 0112240,八宿舍,129
102,第一志願,0017002,八宿舍,130
102,第一志願, 0017005,八宿舍,130
102,第一志願, 0017015,八宿舍,130
102,第一志願, 9928042,八宿舍,130
102,第一志願,0112201,八宿舍,133
102,第一志願, 0112213,八宿舍,133
102,第一志願, 0112233,八宿舍,133
102,第一志願, 0112243,八宿舍,133
102,第一志願,9810024,八宿舍,135
102,第一志願, 9932007,八宿舍,135
102,第一志願, 9932010,八宿舍,135
102,第一志願, 9932022,八宿舍,135
102,第一志願,0110512,九宿舍,102
102,第一志願, 0110531,九宿舍,102
102,第一志願, 0110536,九宿舍,102
102,第一志願, 0112236,九宿舍,102
102,第一志願,0012527,九宿舍,105
102,第一志願, 0012540,九宿舍,105
102,第一志願, 0012542,九宿舍,105
102,第一志願, 0012551,九宿舍,105
102,第一志願,0116003,九宿舍,108
102,第一志願, 0116021,九宿舍,108
102,第一志願, 0116091,九宿舍,108
102,第一志願, 0116311,九宿舍,108
102,第一志願,0111235,九宿舍,109
102,第一志願, 0111236,九宿舍,109
102,第一志願, 0111242,九宿舍,109
102,第一志願, 0111280,九宿舍,109
102,第一志願,0112011,九宿舍,115
102,第一志願, 0112102,九宿舍,115
102,第一志願, 0112112,九宿舍,115
102,第一志願, 9921031,九宿舍,115
102,第一志願,0111249,九宿舍,119
102,第一志願, 0111263,九宿舍,119
102,第一志願, 0111277,九宿舍,119
102,第一志願, 0111284,九宿舍,119
102,第一志願,0112005,九宿舍,120
102,第一志願, 0112006,九宿舍,120
102,第一志願, 0112110,九宿舍,120
102,第一志願, 0112125,九宿舍,120
102,第一志願,0112004,九宿舍,124
102,第一志願, 0112014,九宿舍,124
102,第一志願, 0112026,九宿舍,124
102,第一志願, 0112030,九宿舍,124
102,第一志願,9925014,九宿舍,126
102,第一志願, 9925017,九宿舍,126
102,第一志願, 9925027,九宿舍,126
102,第一志願, 9925051,九宿舍,126
102,第一志願,0111504,九宿舍,128
102,第一志願, 0111522,九宿舍,128
102,第一志願, 0111537,九宿舍,128
102,第一志願, 0111550,九宿舍,128
102,第一志願,0111237,九宿舍,132
102,第一志願, 0111254,九宿舍,132
102,第一志願, 0111255,九宿舍,132
102,第一志願, 0111281,九宿舍,132
102,第一志願,0111229,九宿舍,133
102,第一志願, 0111234,九宿舍,133
102,第一志願, 0111258,九宿舍,133
102,第一志願, 0111259,九宿舍,133
102,第一志願,0116047,九宿舍,202
102,第一志願, 0116067,九宿舍,202
102,第一志願, 0116209,九宿舍,202
102,第一志願, 0116212,九宿舍,202
102,第一志願,0112507,九宿舍,204
102,第一志願, 0112545,九宿舍,204
102,第一志願, 0112547,九宿舍,204
102,第一志願, 0112555,九宿舍,204
102,第一志願,9917054,九宿舍,206
102,第一志願, 9922039,九宿舍,206
102,第一志願, 9924001,九宿舍,206
102,第一志願, 9924037,九宿舍,206
102,第一志願,0112208,九宿舍,207
102,第一志願, 0112214,九宿舍,207
102,第一志願, 0112230,九宿舍,207
102,第一志願, 0112264,九宿舍,207
102,第一志願,0111208,九宿舍,208
102,第一志願, 0111219,九宿舍,208
102,第一志願, 0111222,九宿舍,208
102,第一志願, 0111262,九宿舍,208
102,第一志願,0111220,九宿舍,209
102,第一志願, 0111246,九宿舍,209
102,第一志願, 0111248,九宿舍,209
102,第一志願, 0111298,九宿舍,209
102,第一志願,9911031,九宿舍,213
102,第一志願, 9923027,九宿舍,213
102,第一志願, 9923051,九宿舍,213
102,第一志願, 9923155,九宿舍,213
102,第一志願,0117001,九宿舍,214
102,第一志願, 0117004,九宿舍,214
102,第一志願, 0117007,九宿舍,214
102,第一志願, 0117025,九宿舍,214
102,第一志願,0010148,九宿舍,215
102,第一志願, 0010149,九宿舍,215
102,第一志願, 0010176,九宿舍,215
102,第一志願, 0010183,九宿舍,215
102,第一志願,0016022,九宿舍,218
102,第一志願, 0016089,九宿舍,218
102,第一志願, 0016318,九宿舍,218
102,第一志願, 0116237,九宿舍,218
102,第一志願,0112009,九宿舍,220
102,第一志願, 0112012,九宿舍,220
102,第一志願, 0112013,九宿舍,220
102,第一志願, 0112035,九宿舍,220
102,第一志願,0110738,九宿舍,221
102,第一志願, 0110746,九宿舍,221
102,第一志願, 0110814,九宿舍,221
102,第一志願, 0110838,九宿舍,221
102,第一志願,0112506,九宿舍,222
102,第一志願, 0112524,九宿舍,222
102,第一志願, 0112528,九宿舍,222
102,第一志願, 0112544,九宿舍,222
102,第一志願,0115308,九宿舍,223
102,第一志願, 0115317,九宿舍,223
102,第一志願, 0115328,九宿舍,223
102,第一志願, 0115337,九宿舍,223
102,第一志願,0115411,九宿舍,224
102,第一志願, 0115437,九宿舍,224
102,第一志願, 0115438,九宿舍,224
102,第一志願, 0115442,九宿舍,224
102,第一志願,0112509,九宿舍,225
102,第一志願, 0112516,九宿舍,225
102,第一志願, 0112521,九宿舍,225
102,第一志願, 0112540,九宿舍,225
102,第一志願,0116226,九宿舍,229
102,第一志願, 0116227,九宿舍,229
102,第一志願, 0116319,九宿舍,229
102,第一志願, 0116332,九宿舍,229
102,第一志願,0112501,九宿舍,230
102,第一志願, 0112503,九宿舍,230
102,第一志願, 0112510,九宿舍,230
102,第一志願, 0112519,九宿舍,230
102,第一志願,0116094,九宿舍,232
