學年度,階段,學號,宿舍,房號
99,第一志願,9712014,七宿舍,102
99,第一志願, 9712017,七宿舍,102
99,第一志願, 9712024,七宿舍,102
99,第一志願, 9712056,七宿舍,102
99,第一志願,9731008,七宿舍,105
99,第一志願, 9731028,七宿舍,105
99,第一志願, 9731041,七宿舍,105
99,第一志願, 9731050,七宿舍,105
99,第一志願,9811011,七宿舍,106
99,第一志願, 9811041,七宿舍,106
99,第一志願, 9811070,七宿舍,106
99,第一志願, 9811082,七宿舍,106
99,第一志願,9817028,七宿舍,107
99,第一志願, 9817196,七宿舍,107
99,第一志願, 9817248,七宿舍,107
99,第一志願, 9823143,七宿舍,107
99,第一志願,9614089,七宿舍,108
99,第一志願, 9717091,七宿舍,108
99,第一志願, 9717192,七宿舍,108
99,第一志願, 9717255,七宿舍,108
99,第一志願,9711015,七宿舍,109
99,第一志願, 9711041,七宿舍,109
99,第一志願, 9711055,七宿舍,109
99,第一志願, 9711057,七宿舍,109
99,第一志願,9811008,七宿舍,110
99,第一志願, 9811056,七宿舍,110
99,第一志願, 9811067,七宿舍,110
99,第一志願, 9811068,七宿舍,110
99,第一志願,9712033,七宿舍,111
99,第一志願, 9712037,七宿舍,111
99,第一志願, 9712071,七宿舍,111
99,第一志願, 9712090,七宿舍,111
99,第一志願,9811029,七宿舍,112
99,第一志願, 9811074,七宿舍,112
99,第一志願, 9811078,七宿舍,112
99,第一志願, 9811080,七宿舍,112
99,第一志願,9811003,七宿舍,113
99,第一志願, 9811024,七宿舍,113
99,第一志願, 9811043,七宿舍,113
99,第一志願, 9811065,七宿舍,113
99,第一志願,9817014,七宿舍,114
99,第一志願, 9817020,七宿舍,114
99,第一志願, 9817063,七宿舍,114
99,第一志願, 9817066,七宿舍,114
99,第一志願,9814020,七宿舍,115
99,第一志願, 9814066,七宿舍,115
99,第一志願, 9814072,七宿舍,115
99,第一志願, 9814079,七宿舍,115
99,第一志願,9817053,七宿舍,116
99,第一志願, 9817093,七宿舍,116
99,第一志願, 9817188,七宿舍,116
99,第一志願, 9817269,七宿舍,116
99,第一志願,9817006,七宿舍,117
99,第一志願, 9817010,七宿舍,117
99,第一志願, 9817054,七宿舍,117
99,第一志願, 9817085,七宿舍,117
99,第一志願,9611012,七宿舍,118
99,第一志願, 9611080,七宿舍,118
99,第一志願, 9613025,七宿舍,118
99,第一志願, 9613089,七宿舍,118
99,第一志願,9811017,七宿舍,119
99,第一志願, 9811018,七宿舍,119
99,第一志願, 9811025,七宿舍,119
99,第一志願, 9811084,七宿舍,119
99,第一志願,9817036,七宿舍,120
99,第一志願, 9817156,七宿舍,120
99,第一志願, 9817193,七宿舍,120
99,第一志願, 9817241,七宿舍,120
99,第一志願,9822012,七宿舍,121
99,第一志願, 9822013,七宿舍,121
99,第一志願, 9822042,七宿舍,121
99,第一志願, 9822048,七宿舍,121
99,第一志願,9617158,七宿舍,122
99,第一志願, 9617266,七宿舍,122
99,第一志願, 9621129,七宿舍,122
99,第一志願, 9631016,七宿舍,122
99,第一志願,9814016,七宿舍,123
99,第一志願, 9814032,七宿舍,123
99,第一志願, 9814074,七宿舍,123
99,第一志願, 9814090,七宿舍,123
99,第一志願,9814008,七宿舍,124
99,第一志願, 9814011,七宿舍,124
99,第一志願, 9814068,七宿舍,124
99,第一志願, 9814103,七宿舍,124
99,第一志願,9810017,七宿舍,125
99,第一志願, 9817064,七宿舍,125
99,第一志願, 9817144,七宿舍,125
99,第一志願, 9824017,七宿舍,125
99,第一志願,9811001,七宿舍,126
99,第一志願, 9811002,七宿舍,126
99,第一志願, 9811014,七宿舍,126
99,第一志願, 9811033,七宿舍,126
99,第一志願,9811015,七宿舍,127
99,第一志願, 9811036,七宿舍,127
99,第一志願, 9811071,七宿舍,127
99,第一志願, 9811088,七宿舍,127
99,第一志願,9814045,七宿舍,129
99,第一志願, 9814056,七宿舍,129
99,第一志願, 9814087,七宿舍,129
99,第一志願, 9814093,七宿舍,129
99,第一志願,9814013,七宿舍,201
99,第一志願, 9814017,七宿舍,201
99,第一志願, 9814018,七宿舍,201
99,第一志願, 9814027,七宿舍,201
99,第一志願,9644004,七宿舍,202
99,第一志願, 9644012,七宿舍,202
99,第一志願, 9644024,七宿舍,202
99,第一志願, 9644028,七宿舍,202
99,第一志願,9814001,七宿舍,203
99,第一志願, 9814015,七宿舍,203
99,第一志願, 9814034,七宿舍,203
99,第一志願, 9814083,七宿舍,203
99,第一志願,9814012,七宿舍,204
99,第一志願, 9814061,七宿舍,204
99,第一志願, 9814069,七宿舍,204
99,第一志願, 9814085,七宿舍,204
99,第一志願,9711050,七宿舍,205
99,第一志願, 9811027,七宿舍,205
99,第一志願, 9811064,七宿舍,205
99,第一志願, 9822002,七宿舍,205
99,第一志願,9811006,七宿舍,206
99,第一志願, 9811007,七宿舍,206
99,第一志願, 9811035,七宿舍,206
99,第一志願, 9811053,七宿舍,206
99,第一志願,9822017,七宿舍,207
99,第一志願, 9822018,七宿舍,207
99,第一志願, 9822027,七宿舍,207
99,第一志願, 9822050,七宿舍,207
99,第一志願,9828006,八宿舍,101
99,第一志願, 9828016,八宿舍,101
99,第一志願, 9828021,八宿舍,101
99,第一志願, 9828036,八宿舍,101
99,第一志願,9818006,八宿舍,108
99,第一志願, 9818031,八宿舍,108
99,第一志願, 9818039,八宿舍,108
99,第一志願, 9818052,八宿舍,108
99,第一志願,9714101,八宿舍,113
99,第一志願, 9717021,八宿舍,113
99,第一志願, 9717046,八宿舍,113
99,第一志願, 9724012,八宿舍,113
99,第一志願,9714076,八宿舍,116
99,第一志願, 9714100,八宿舍,116
99,第一志願, 9721132,八宿舍,116
99,第一志願, 9823062,八宿舍,116
99,第一志願,9823041,八宿舍,117
99,第一志願, 9823106,八宿舍,117
99,第一志願, 9823161,八宿舍,117
99,第一志願, 9823192,八宿舍,117
99,第一志願,9823018,八宿舍,119
99,第一志願, 9823037,八宿舍,119
99,第一志願, 9823058,八宿舍,119
99,第一志願, 9823060,八宿舍,119
99,第一志願,9810005,八宿舍,120
99,第一志願, 9810006,八宿舍,120
99,第一志願, 9810008,八宿舍,120
99,第一志願, 9810026,八宿舍,120
99,第一志願,9818007,八宿舍,121
99,第一志願, 9818010,八宿舍,121
99,第一志願, 9818032,八宿舍,121
99,第一志願, 9818036,八宿舍,121
99,第一志願,9811061,八宿舍,122
99,第一志願, 9811073,八宿舍,122
99,第一志願, 9811081,八宿舍,122
99,第一志願, 9811092,八宿舍,122
99,第一志願,9818017,八宿舍,123
99,第一志願, 9818018,八宿舍,123
99,第一志願, 9818025,八宿舍,123
99,第一志願, 9818030,八宿舍,123
99,第一志願,9823024,八宿舍,124
99,第一志願, 9823047,八宿舍,124
99,第一志願, 9823055,八宿舍,124
99,第一志願, 9823137,八宿舍,124
99,第一志願,9818003,八宿舍,126
99,第一志願, 9818022,八宿舍,126
99,第一志願, 9818037,八宿舍,126
99,第一志願, 9818051,八宿舍,126
99,第一志願,9621026,八宿舍,127
99,第一志願, 9621031,八宿舍,127
99,第一志願, 9621131,八宿舍,127
99,第一志願, 9621133,八宿舍,127
99,第一志願,9654015,八宿舍,133
99,第一志願, 9654021,八宿舍,133
99,第一志願, 9716061,八宿舍,133
99,第一志願, 9716062,八宿舍,133
99,第一志願,9833014,八宿舍,135
99,第一志願, 9833033,八宿舍,135
99,第一志願, 9833038,八宿舍,135
99,第一志願, 9833046,八宿舍,135
99,第一志願,9818023,八宿舍,136
99,第一志願, 9818038,八宿舍,136
99,第一志願, 9818044,八宿舍,136
99,第一志願, 9818047,八宿舍,136
99,第一志願,9823032,八宿舍,201
99,第一志願, 9823123,八宿舍,201
99,第一志願, 9823136,八宿舍,201
99,第一志願, 9823151,八宿舍,201
99,第一志願,9817022,八宿舍,206
99,第一志願, 9817033,八宿舍,206
99,第一志願, 9817046,八宿舍,206
99,第一志願, 9817067,八宿舍,206
99,第一志願,9718001,八宿舍,207
99,第一志願, 9718006,八宿舍,207
99,第一志願, 9718015,八宿舍,207
99,第一志願, 9733050,八宿舍,207
99,第一志願,9823036,八宿舍,209
99,第一志願, 9823076,八宿舍,209
99,第一志願, 9823148,八宿舍,209
99,第一志願, 9823184,八宿舍,209
99,第一志願,9625041,八宿舍,210
99,第一志願, 9625043,八宿舍,210
99,第一志願, 9625053,八宿舍,210
